month,revenue,users,churn,conversions,enterprise,startup,smb
Jan 2024,84200,3120,4.2,186,38400,28600,17200
Feb 2024,87500,3340,3.9,201,40100,29200,18200
Mar 2024,91800,3580,3.7,218,42300,30100,19400
Apr 2024,89400,3490,4.1,195,40800,29800,18800
May 2024,94200,3720,3.5,229,43600,30900,19700
Jun 2024,98100,3890,3.3,241,45200,32100,20800
Jul 2024,96500,3810,3.6,232,44100,31800,20600
Aug 2024,101400,4050,3.1,258,46800,33200,21400
Sep 2024,105800,4280,2.9,272,49100,34300,22400
Oct 2024,109200,4460,2.8,289,50800,35400,23000
Nov 2024,113500,4690,2.6,301,52900,36700,23900
Dec 2024,127450,5120,2.4,342,59400,41200,26850
